date,fear_greed_index
2018.12.21,3
2018.12.24,2
2018.12.26,4
2018.12.27,8
2018.12.28,12
2018.12.31,12
2019.1.2,12
2019.1.3,10
2019.1.4,16
2019.1.7,19
2019.1.8,22
2019.1.9,27
2019.1.10,31
2019.1.11,30
2019.1.14,28
2019.1.15,31
2019.1.16,36
2019.1.17,44
2019.1.18,51
2019.1.22,51
2019.1.23,55
2019.1.24,58
2019.1.25,58
2019.1.28,55
2019.1.29,55
2019.1.30,58
2019.1.31,58
2019.2.1,61
2019.2.4,62
2019.2.5,64
2019.2.6,63
2019.2.7,63
2019.2.8,63
2019.2.11,62
2019.2.12,67
2019.2.13,65
2019.2.14,67
2019.2.15,67
2019.2.19,69
2019.2.20,70
2019.2.21,70
2019.2.22,69
2019.2.25,70
2019.2.26,70
2019.2.27,72
2019.2.28,72
2019.3.1,71
2019.3.4,65
2019.3.5,63
2019.3.6,61
2019.3.7,58
2019.3.8,55
2019.3.11,59
2019.3.12,59
2019.3.13,60
2019.3.14,60
2019.3.15,65
2019.3.18,67
2019.3.19,67
2019.3.20,64
2019.3.21,64
2019.3.22,59
2019.3.25,55
2019.3.26,51
2019.3.27,52
2019.3.28,48
2019.3.29,49
2019.4.1,56
2019.4.2,56
2019.4.3,64
2019.4.4,70
2019.4.5,74
2019.4.8,72
2019.4.9,70
2019.4.10,72
2019.4.11,68
2019.4.12,72
2019.4.15,70
2019.4.16,69
2019.4.17,71
2019.4.18,70
2019.4.22,71
2019.4.23,73
2019.4.24,70
2019.4.25,71
2019.4.26,72
2019.4.29,69
2019.4.30,65
2019.5.1,65
2019.5.2,59
2019.5.3,58
2019.5.6,40
2019.5.7,42
2019.5.8,42
2019.5.9,40
2019.5.10,41
2019.5.13,35
2019.5.14,35
2019.5.15,35
2019.5.16,37
2019.5.17,36
2019.5.20,33
2019.5.21,34
2019.5.22,32
2019.5.23,28
2019.5.24,27
2019.5.28,23
2019.5.29,25
2019.5.30,24
2019.5.31,24
2019.6.3,25
2019.6.4,28
2019.6.5,29
2019.6.6,29
2019.6.7,32
2019.6.10,37
2019.6.11,36
2019.6.12,34
2019.6.13,39
2019.6.14,38
2019.6.17,40
2019.6.18,44
2019.6.19,42
2019.6.20,45
2019.6.21,52
2019.6.24,50
2019.6.25,44
2019.6.26,48
2019.6.27,47
2019.6.28,50
2019.7.1,55
2019.7.2,62
2019.7.3,62
2019.7.5,61
2019.7.8,59
2019.7.9,56
2019.7.10,58
2019.7.11,62
2019.7.12,64
2019.7.15,57
2019.7.16,55
2019.7.17,47
2019.7.18,47
2019.7.19,44
2019.7.22,44
2019.7.23,50
2019.7.24,57
2019.7.25,55
2019.7.26,60
2019.7.29,58
2019.7.30,53
2019.7.31,48
2019.8.1,43
2019.8.2,36
2019.8.5,22
2019.8.6,27
2019.8.7,25
2019.8.8,25
2019.8.9,25
2019.8.12,23
2019.8.13,27
2019.8.14,21
2019.8.15,19
2019.8.16,20
2019.8.19,26
2019.8.20,23
2019.8.21,25
2019.8.22,25
2019.8.23,18
2019.8.26,19
2019.8.27,16
2019.8.28,18
2019.8.29,26
2019.8.30,23
2019.9.3,25
2019.9.4,28
2019.9.5,39
2019.9.6,35
2019.9.9,45
2019.9.10,55
2019.9.11,57
2019.9.12,65
2019.9.13,68
2019.9.16,67
2019.9.17,66
2019.9.18,66
2019.9.19,63
2019.9.20,58
2019.9.23,59
2019.9.24,54
2019.9.25,59
2019.9.26,57
2019.9.27,52
2019.9.30,54
2019.10.1,48
2019.10.2,34
2019.10.3,29
2019.10.4,32
2019.10.7,30
2019.10.8,29
2019.10.9,30
2019.10.10,36
2019.10.11,42
2019.10.14,42
2019.10.15,42
2019.10.16,47
2019.10.17,50
2019.10.18,50
2019.10.21,56
2019.10.22,59
2019.10.23,55
2019.10.24,57
2019.10.25,62
2019.10.28,67
2019.10.29,71
2019.10.30,75
2019.10.31,72
2019.11.1,80
2019.11.4,86
2019.11.5,89
2019.11.6,88
2019.11.7,91
2019.11.8,91
2019.11.11,89
2019.11.12,88
2019.11.13,87
2019.11.14,83
2019.11.15,87
2019.11.18,83
2019.11.19,80
2019.11.20,74
2019.11.21,70
2019.11.22,69
2019.11.25,70
2019.11.26,69
2019.11.27,78
2019.11.29,79
2019.12.2,74
2019.12.3,63
2019.12.4,67
2019.12.5,67
2019.12.6,70
2019.12.9,68
2019.12.10,65
2019.12.11,61
2019.12.12,74
2019.12.13,75
2019.12.16,82
2019.12.17,85
2019.12.18,87
2019.12.19,90
2019.12.20,91
2019.12.23,92
2019.12.24,91
2019.12.26,93
2019.12.27,91
2019.12.30,90
2019.12.31,93
